"No.","station_id","C_conc_0.30cm","C_conc_30.100cm","Bulk_density_0.30cm","Bulk_density_30.100cm","C_stock.tons.ha._0.30cm","C_stock.tons.ha._30.100cm","Texture_0.30cm_.Sand","Texture_0.30cm_.Clay","Texture_0.30cm_.Silt","Textural.class_0.30cm","Texture_30.100cm_.Sand","Texture_30.100cm_.Clay","Texture_30.100cm_.Silt","Textural.class_30.100cm","Lon","Lat","MAT","MAP","Fire_frequency"
1,"id_446",3.56,0.36,1,1.79,108.76,19.34,73.2,6.4,20.4,"SANDY LOAM",74.8,4.4,20.8,"LOAMY SAND",24.9769505,-16.4150655,21.508333047231,743,1
2,"id_448",0.56,0.08,1.6,1.48,26.64,3.56,83.2,4.4,12.4,"LOAMY SAND",60.8,8.4,30.8,"SANDY LOAM",24.9993258,-16.5389696,21.6749998728434,733,3
3,"id_457",1.48,0.88,1.5,1.72,66.9,45.3,89.2,2.4,8.4,"SAND",72.8,2.4,24.8,"LOAMY SAND",24.9736375,-16.5355794,21.5833331743876,739,2
4,"id_459",0.24,1,1.5,1.36,10.59,40.85,77.2,4.4,18.4,"LOAMY SAND",70.8,2.4,26.8,"SANDY LOAM",24.9683339,-16.4894381,21.6416665712992,740,1
5,"id_462",0.48,0.68,1.6,1.89,23.65,38.6,95.2,0.4,4.4,"SAND",78.8,2.4,18.8,"LOAMY SAND",24.9375687,-16.6143309,21.4499999682109,737,4
6,"id_463",0.72,0.8,1.8,1.92,39.45,46.01,97.2,2.4,0.4,"SAND",78.8,2.4,18.8,"LOAMY SAND",24.9315972,-16.6166935,21.4916667938232,734,1
7,"id_467",0.48,0.16,1.6,1.63,23.16,7.85,90,5,5,"SAND",92,4,4,"SAND",24.961849,-16.4655244,21.6000000635783,741,0
8,"id_480",0.36,0.56,1.7,1.71,18.47,28.72,69.2,8.4,22.4,"SANDY LOAM",60.8,8.4,30.8,"SANDY LOAM",25.1542443,-16.7336594,22.0916670163472,713,0
9,"id_484",0.44,0.28,1.7,1.65,22.36,13.89,87.2,6.4,6.4,"LOAMY SAND",70.8,2.4,26.8,"SANDY LOAM",25.1192446,-16.742133,21.9416666030884,712,0
10,"id_486",0.44,0.16,1.7,1.9,22.48,9.11,95.2,4.4,0.4,"SAND",76.8,2.4,20.8,"LOAMY SAND",25.0727284,-16.7366327,21.9666666984558,719,6
11,"id_493",0.52,0.12,1.5,1.75,23.31,6.31,87.2,8.4,4.4,"LOAMY SAND",74.8,0.4,24.8,"LOAMY SAND",25.0524739,-16.7723278,22.1833333969116,701,0
12,"id_496",2.2,1.92,1.2,1.43,76.57,82.47,67.2,16.4,16.4,"SANDY LOAM",48.8,14.4,36.8,"LOAM",25.0519544,-16.7585998,22.1666668256124,702,0
13,"id_508",0.6,0.44,1.6,1.7,29.29,22.44,89.2,0.4,10.4,"SAND",74.8,0.4,24.8,"LOAMY SAND",25.1257767,-16.7298655,21.8999999364217,718,2
14,"id_475",0.44,0.24,1.6,1.61,21.77,11.57,89.2,2.4,8.4,"SAND",74.8,4.4,20.8,"LOAMY SAND",25.0695443,-16.8087698,22.1500002543132,705,1
15,"id_479",0.4,0.32,1.6,1.56,19.58,14.93,95.2,4.4,0.4,"SAND",74.8,6.4,18.8,"SANDY LOAM",25.0551511,-16.832157,22.1916667620341,703,7
16,"id_522",0.52,0.16,1.6,1.59,24.41,7.63,88.4,2,9.6,"SAND",81.6,2,16.4,"LOAMY SAND",25.1044554,-16.8611127,22.2583332061768,698,0
17,"id_288",0.56,0.48,1.6,1.57,26.69,22.61,88.4,2,9.6,"SAND",79.6,4,16.4,"LOAMY SAND",25.1043432,-16.9664026,22.3666667938232,689,6
18,"id_294",0.76,0.56,1.5,1.34,34.43,22.45,84.4,8,7.6,"LOAMY SAND",71.6,10,18.4,"SANDY LOAM",25.09607,-16.967339,22.3750001589457,687,5
19,"id_328",0.48,0.48,1.5,1.57,21.76,22.59,88.4,4,7.6,"SAND",81.6,2,16.4,"LOAMY SAND",25.1165798,-16.9591026,22.3583334287008,691,6
20,"id_332",0.68,0.52,1.3,1.47,26.91,22.9,88.4,0,11.6,"SAND",69.6,6,24.4,"SANDY LOAM",25.0860127,-16.905337,22.266666730245,695,5
21,"id_473",3.28,1.24,1.2,1.5,117.34,55.85,54.4,28,17.6,"SANDY CLAY LOAM",35.6,36,28.4,"CLAY LOAM",25.1442262,-16.9334782,22.3333333333333,691,0
22,"id_483",3.44,1.84,1.1,1.3,109.3,71.84,34.4,42,23.6,"CLAY",23.6,44,32.4,"CLAY",25.1518603,-16.9476882,22.3916665712992,690,0
23,"id_501",0.56,0.48,1.6,1.17,26.09,16.89,44.4,10,45.6,"LOAM",57.6,12,30.4,"SANDY LOAM",25.1449412,-16.9310766,22.3249999682109,690,0
24,"id_519",0.76,0.4,1.4,1.45,33.03,17.45,90.4,4,5.6,"SAND",69.6,4,26.4,"SANDY LOAM",25.0815629,-16.8867051,22.2583333651225,699,9
25,"id_527",0.32,0.4,1.7,1.71,16.05,20.53,92.4,4,3.6,"SAND",83.6,2,14.4,"LOAMY SAND",25.0869017,-16.8641524,22.3083332379659,699,4
26,"id_336",1.92,1.32,1.2,1.89,66.83,74.96,24.4,46,29.6,"CLAY",15.6,46,38.4,"CLAY",25.1172785,-16.8524791,22.2083331743876,698,0
27,"id_472",0.2,0.28,1.6,1.53,9.46,12.85,92.4,2,5.6,"SAND",81.6,2,16.4,"LOAMY SAND",25.189854,-16.7980481,22.2083333333333,710,2
28,"id_474",0.44,0.8,1.6,1.8,20.71,43.28,84.4,10,5.6,"LOAMY SAND",73.6,10,16.4,"SANDY LOAM",25.2062609,-16.9200755,22.3249999682109,696,4
29,"id_478",0.32,0.48,1.6,1.72,15.43,24.7,92.4,2,5.6,"SAND",83.6,2,14.4,"LOAMY SAND",25.1666465,-16.7600683,22.0833336512248,710,2
30,"id_485",0.24,0.4,1.8,1.76,12.71,21.07,80.4,6,13.6,"LOAMY SAND",69.6,8,22.4,"SANDY LOAM",25.1336292,-16.815316,22.1500000953674,706,1
31,"id_488",0.32,0.32,1.6,1.07,15.18,10.3,90.4,4,5.6,"SAND",81.6,4,14.4,"LOAMY SAND",25.2002857,-16.9285105,22.3166666030884,697,0
32,"id_492",2.28,1.68,1.3,1.98,89.63,99.72,28.4,56,15.6,"CLAY",23.6,54,22.4,"CLAY",25.1625317,-16.9204345,22.2999998728434,693,0
33,"id_498",0.24,0.36,1.4,1.86,10.38,20.14,90.8,4,5.2,"SAND",79.2,4,16.8,"LOAMY SAND",25.1904002,-16.9118793,22.2583333651225,697,2
34,"id_511",0.44,0.04,1.8,1.68,24.01,2.02,88.8,6,5.2,"SAND",77.2,4,18.8,"LOAMY SAND",25.1435476,-16.8909094,22.2249999046326,695,0
35,"id_523",0.88,0.44,1.5,1.67,39.85,22.08,90.8,2,7.2,"SAND",81.2,4,14.8,"LOAMY SAND",25.1501648,-16.8775116,22.149999777476,700,5
36,"id_524",1.4,1.4,1.3,1.33,53.83,55.76,44.8,30,25.2,"CLAY LOAM",31.2,36,32.8,"CLAY LOAM",25.1507439,-16.7950389,22.1666668256124,715,0
37,"id_115",0.36,0.28,1.5,1.74,16.34,14.58,92.8,2,5.2,"SAND",83.2,2,14.8,"LOAMY SAND",24.4454076,-16.5319749,21.7666668891907,734,1
38,"id_139",0.96,0.2,1.6,1.81,45.61,10.87,90.8,4,5.2,"SAND",87.2,0,12.8,"SAND",24.5575603,-16.4608937,21.8750001589457,726,2
39,"id_445",0.4,0.12,1.9,1.91,22.27,6.86,90.8,4,5.2,"SAND",83.2,2,14.8,"LOAMY SAND",24.8103219,-16.4804304,21.5,744,0
40,"id_454",0.48,0.4,1.9,2.01,27.79,24.08,90.8,2,7.2,"SAND",81.2,4,14.8,"LOAMY SAND",24.8615153,-16.485102,21.4250000317891,745,0
41,"id_464",0.72,0.08,1.9,1.98,40.55,4.76,88.8,4,7.2,"SAND",81.2,4,14.8,"LOAMY SAND",24.8438132,-16.4626635,21.4583334922791,745,5
42,"id_531",0.08,0.04,1.2,1.78,2.93,2.13,92.8,2,5.2,"SAND",83.2,2,14.8,"LOAMY SAND",24.9360468,-17.3613157,23.2416667938232,641,0
43,"id_533",0.08,0.16,1.5,1.78,3.69,8.54,92.8,4,3.2,"SAND",83.2,4,12.8,"LOAMY SAND",24.5647538,-16.6294302,21.7416667938232,725,5
44,"id_534",0.28,0.08,1.6,1.93,13.63,4.64,94.8,4,1.2,"SAND",83.2,4,12.8,"LOAMY SAND",24.5760528,-16.5714957,21.7500001589457,730,6
45,"id_536",0.32,0.16,1.8,1.96,16.85,9.42,92.8,2,5.2,"SAND",81.2,6,12.8,"LOAMY SAND",24.6712018,-16.4151207,21.508333047231,748,4
46,"id_537",0.16,0.16,1.4,1.78,6.77,8.56,92.2,6.8,1,"SAND",85.8,8.8,5.4,"LOAMY SAND",24.6534773,-16.5393648,21.7166666984558,733,2
47,"id_539",0.2,0.12,1.6,1.98,9.75,7.12,88.2,8.8,3,"LOAMY SAND",85.8,6.8,7.4,"LOAMY SAND",24.6184749,-16.5379137,21.6499999364217,738,1
48,"id_540",0.28,0.36,1.7,1.95,14.57,21.02,86.2,10.8,3,"LOAMY SAND",81.8,8.8,9.4,"LOAMY SAND",24.7586186,-16.525928,21.6583333015442,735,2
49,"id_545",1.04,0.32,1.7,1.95,54.2,18.69,84.2,6.8,9,"LOAMY SAND",79.8,8.8,11.4,"LOAMY SAND",24.7371614,-16.4952846,21.5916663805644,743,4
50,"id_547",0.32,0.04,1.6,1.81,15.82,2.17,90.2,6.8,3,"SAND",85.8,6.8,7.4,"LOAMY SAND",24.6018936,-16.6200259,21.7500001589457,726,0
51,"id_550",0.4,0.32,1.8,1.44,21.13,13.86,84.2,8.8,7,"LOAMY SAND",81.8,8.8,9.4,"LOAMY SAND",24.5808295,-16.5473656,21.7416667938232,734,5
52,"id_552",0.36,0.12,1.9,2,20.92,7.2,92.2,6.8,1,"SAND",85.8,8.8,5.4,"LOAMY SAND",24.7575613,-16.4613463,21.5833331743876,743,4
53,"id_554",0.2,0.16,1.5,1.71,8.81,8.21,90.2,6.8,3,"SAND",89.8,6.8,3.4,"SAND",24.5775249,-16.5585789,21.7416667938232,730,6
