SubmissionDate,date,community_name,Cohort,Grazing Block,grazing_report_coordinates-Latitude,grazing_report_coordinates-Longitude,grazing_report_coordinates-Altitude,grazing_report_coordinates-Accuracy,number_of_animals,non_member_cattle_on_block,total number of animals
15:20:52,21/01/2025,Kobya,Cohort 0,Nanyotwa,-17.3042233,24.6614583,995.9,4.85,1418,0,1418
15:33:14,21/01/2025,Nakatindi_Kazungula,Cohort 0,,-17.5670427,25.1860861,947.5,4.1,131,562,693
15:41:22,21/01/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4303934,24.5351997,948.1,4.686,1423,0,1423
16:41:40,21/01/2025,Tahalima,Cohort 1,Upland Forest,-17.4064193,24.5872724,944.3,4.5,968,0,968
15:37:17,21/01/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.432298,24.4777038,957.1,4.8,3227,0,3227
16:07:46,21/01/2025,Tahalima,Cohort 1,Lusheshe,-17.4100496,24.5864348,941.7,4.95,1000,0,1000
07:46:47,22/01/2025,Kazungwe,Cohort 1,Kazungwe Lisheke,-17.2341658,24.3411745,1022.5,4.78,236,0,236
13:44:27,22/01/2025,Kazungwe,Cohort 1,Kazungwe Plain,-17.2120526,24.3426166,1020.6,4.866,0,0,0
15:28:16,22/01/2025,Nakalonzya,Cohort 0,Nakalonzya,-17.5486235,25.2670835,991.3,3.72,1000,0,1000
11:17:08,22/01/2025,Mushukula,Cohort 1,Loanja Plains,-17.0394183,24.4951533,1016.8,4.8,600,0,600
04:45:22,22/01/2025,Lusinina,Cohort 1,Lusinina Lisheke,-17.168063,24.5055732,1035.8,4.45,1890,0,1890
12:21:50,22/01/2025,Kamusa,Cohort 0,Machile Plains,-17.3342919,24.9874083,954.3,4.916,673,87,760
13:42:18,22/01/2025,Lutaba,Cohort 1,Lutaba Lisheke,-17.160232,24.7817279,995.1,4.3,600,0,600
11:00:50,22/01/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2095199,24.9202118,957.5,4.6,81,0,81
04:11:31,22/01/2025,Loanja,Cohort 1,Lisa La White,-17.2824347,24.7847521,973.9,4.666,1852,0,1852
04:12:37,22/01/2025,Simungoma,Cohort 1,Lusheshe,-17.419552,24.6805198,965.3,4.916,780,6,786
06:25:53,23/01/2025,Kazungwe,Cohort 1,Kazungwe Plain,-17.2143583,24.33075,1061.6,4.96,0,0,0
10:52:38,23/01/2025,Mushukula,Cohort 1,Loanja Plains,-17.059066,24.4986764,1006.1,4.8,600,0,600
11:20:44,23/01/2025,Nakatindi_Kazungula,Cohort 0,,-17.5650164,25.1821275,943.7,4.95,131,0,131
15:27:57,23/01/2025,Situwa,Cohort 0,Dongasilu,-17.5970927,25.1956557,946.7,4.3,212,0,212
15:29:13,23/01/2025,Kakulwani,Cohort 1,Nakalamba Forest,-17.4203676,24.7712724,955.3,4.783,2500,0,2500
18:41:18,23/01/2025,Kapokoto,Cohort 1,Mutemwa/ Harvested Fields,-17.4434257,24.3672383,965.9,4.85,620,0,620
13:21:58,23/01/2025,Kapokoto,Cohort 1,Mutemwa/ Harvested Fields,-17.3775219,24.382289,1003.4,4.933,620,0,620
09:51:17,23/01/2025,Silangu,Cohort 0,Mulapani,-17.2971377,24.7054287,982.4,3.4,350,0,350
13:42:13,23/01/2025,Nkuse,Cohort 1,Samatela Forest,-17.2422425,24.7015775,985,4.35,302,0,302
04:11:16,23/01/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.43339,24.3742189,992.3,4.8,300,0,300
08:20:58,24/01/2025,Nakatindi_Kazungula,Cohort 0,,-17.5617301,25.1959148,950.7,4.45,120,0,120
09:51:28,24/01/2025,Mutelo,Cohort 0,Chamuseme,-17.1255201,25.0841056,962.2,4.533,1805,0,1805
11:09:44,26/01/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2093676,24.9206438,958.5,4.95,81,0,81
12:18:09,27/01/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2116828,24.9203388,903.4,4.7,81,0,81
17:20:43,27/01/2025,Mutelo,Cohort 0,Liwunga,-17.1362748,25.1013755,954.4,4.44,1322,0,1322
17:21:03,27/01/2025,Mutelo,Cohort 0,Simachembele,-17.1435367,25.0983829,946.6,4.783,2006,15,2021
06:56:20,27/01/2025,Nakatindi_Kazungula,Cohort 0,,-17.5516067,25.2168618,957.6,4,0,0,0
07:45:29,29/01/2025,Ibeele,Cohort 1,Kaono,-17.0052802,24.3421988,1056.2,4.2,110,0,110
11:18:19,29/01/2025,Kazungwe,Cohort 1,Mutemwa/ Harvested Fields,-17.2143542,24.3314333,1068.5,4.98,0,0,0
13:30:10,29/01/2025,Lutaba,Cohort 1,Lutaba Local Plain,-17.1767548,24.7667724,986.7,4.8,750,0,750
13:54:16,29/01/2025,Kamusa,Cohort 0,Lower Lands,-17.3115187,24.9804421,949.1,4.9,2681,0,2681
14:13:20,29/01/2025,Kakulwani,Cohort 1,Nakalamba Forest,-17.4191756,24.7604111,947.1,5,2550,0,2550
14:44:13,29/01/2025,Lusinina,Cohort 1,Lisheke,-17.1588917,24.5107233,1055.2,4.2,1940,0,1940
17:09:40,29/01/2025,Chisu,Cohort 1,Chikongwe,-17.2559991,24.4005658,1026.2,5,865,0,865
19:42:02,29/01/2025,Chisu,Cohort 1,Chikongwe,-17.268665,24.3743033,1010.8,4.6,865,0,865
06:57:05,29/01/2025,Chisu,Cohort 1,Chikongwe,-17.2559581,24.4005506,1025.7,4.916,865,0,865
08:41:58,29/01/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2227657,24.9216107,954.5,4.766,81,0,81
09:20:20,29/01/2025,Nkuse,Cohort 1,Samatela Forest,-17.239822,24.6978955,981.8,4.95,302,0,302
09:22:08,29/01/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4304708,24.5384512,959.5,4.547,1859,0,1859
10:10:27,29/01/2025,Silangu,Cohort 0,Kandumbwi,-17.2659843,24.7116994,965.4,4.55,370,0,370
14:04:24,29/01/2025,Kobya,Cohort 0,Nanyotwa,-17.3080033,24.6601364,978.3,4.3,1418,0,1418
08:41:14,29/01/2025,Tahalima,Cohort 1,Upland Forest,-17.404422,24.5838152,946,4.95,1962,0,1962
09:07:24,29/01/2025,Loanja,Cohort 1,Lisa La White,-17.2759839,24.7867288,1016.1,4.762,1857,0,1857
04:11:27,29/01/2025,Kapokoto,Cohort 1,Mutemwa/ Harvested Fields,-17.3781764,24.3803669,1011,4.58,620,0,620
13:53:30,29/01/2025,Simungoma,Cohort 1,Zambezi Plains,-17.4479638,24.6610772,961.3,4.733,1560,4,1564
13:08:17,30/01/2025,Mushukula,Cohort 1,Mushukula Lisheke,-17.0544797,24.4918511,1069.4,4.98,1000,0,1000
13:53:57,30/01/2025,Situwa,Cohort 0,Situwa Plains,-17.6062685,25.2333214,955.1,4.616,480,0,480
13:53:41,30/01/2025,Mutuwapafa,Cohort 1,Loanja Plains,-17.2085933,24.6155745,991.4,4.225,700,0,700
07:39:15,31/01/2025,Kejaya,Cohort 0,Kejaya Plain,-17.1162367,25.0561833,957,5,891,31,922
07:47:58,31/01/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.433492,24.4857895,954,4.916,3244,0,3244
15:54:01,31/01/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.433358,24.3742468,996.1,4.7,500,0,500
10:48:54,02/02/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.5490315,25.2672104,960.2,4.816,1200,0,1200
12:33:54,03/02/2025,Situwa,Cohort 0,Kazwili,-17.6011494,25.2586094,956.5,4.7,372,0,372
17:57:19,04/02/2025,Mutelo,Cohort 0,Lupabanyuni,-17.1310273,25.096066,965.4,3.94,1822,0,1822
19:17:04,04/02/2025,Silangu,Cohort 0,Katemwazana,-17.3051417,24.7223237,966.7,4.533,300,0,300
