RecordID,Community,gps_stamp_latitude, gps_stamp_longitude ,Record Date,Number of Animals on Block,corrected,issue
c76ac2525e8c760b-1724337209139,Lusinina,47.6088300, 122.341550 ,22/08/2024,2500,FALSE,TRUE
83156c7a202ec384-1732285948875,Ibeele,-15.8432200, 27.721000 ,22/11/2024,150,FALSE,FALSE
83156c7a202ec384-1723473908915,Ibeele,-15.8432200, 27.721000 ,12/08/2024,110,FALSE,FALSE
ade556835e5b67ea-1723473312748,Sitaba,-15.8432231, 27.720970 ,12/08/2024,40,FALSE,FALSE
9af42d2e264aa699-1723472689876,Chisu,-15.8432870, 27.720924 ,12/08/2024,82,FALSE,FALSE
b9f6dd29a76c2cee-1723474018678,Kazungwe,-15.8432900, 27.720870 ,12/08/2024,70,TRUE,FALSE
cd2e9a95740e2003-1723474999462,Kapokoto,-15.8431100, 27.720600 ,12/08/2024,225,FALSE,FALSE
ecaf41fc10cc3de2-1736955210281,Mushukula,-17.8416587, 25.857440 ,15/01/2025,760,FALSE,FALSE
5270281ed6dd5776-1737035229009,Lusinina,-17.8416596, 25.857438 ,16/01/2025,1811,FALSE,FALSE
3e087bc2f4f97efb-1737035144211,Mutuwapafa,-17.8416555, 25.857438 ,16/01/2025,800,FALSE,FALSE
bf49837bf502e60e-1737035232381,Loanja,-17.8416695, 25.857438 ,16/01/2025,1852,FALSE,FALSE
d9bf7340734891be-1736922017488,Lutaba,-17.8416570, 25.857438 ,15/01/2025,290,FALSE,FALSE
e56487f7a8707139-1737035140105,Situwa,-17.8416567, 25.857431 ,16/01/2025,109,FALSE,FALSE
1f4a9fd624c92ac2-1736882544856,Silangu,-17.8418991, 25.857429 ,14/01/2025,150,FALSE,FALSE
b9f6dd29a76c2cee-1737043878181,Kazungwe,-17.8416904, 25.857411 ,16/01/2025,200,FALSE,FALSE
e56487f7a8707139-1728654942881,Situwa,-17.8472308, 25.856101 ,11/10/2024,38,FALSE,FALSE
088ff02ac975a5d0-1722808855700,Nakalonzya,-17.3264200, 25.776500 ,04/08/2024,600,FALSE,FALSE
d08afa8ff5d762c2-1724153575886,Nakatindi_Kazungula,-17.2345100, 25.657370 ,20/08/2024,600,FALSE,FALSE
b693e3037b8cc708-1718788074715,Nakatindi_Kazungula,-17.5374400, 25.567410 ,19/06/2024,450,TRUE,FALSE
86b1cbae796c8225-1720692449594,Lutaba,-15.6027480, 25.563542 ,11/07/2024,86,TRUE,FALSE
088ff02ac975a5d0-1714927924726,Nakalonzya,-17.5640000, 25.374110 ,05/05/2024,312,TRUE,FALSE
e2c6bf09204463f8-1728049470344,Nakalonzya,-17.5346600, 25.366600 ,04/10/2024,1294,FALSE,FALSE
e56487f7a8707139-1735201539461,Situwa,-17.6774800, 25.347640 ,26/12/2024,80,TRUE,FALSE
088ff02ac975a5d0-1716740127024,Nakalonzya,-17.6133200, 25.314620 ,26/05/2024,600,TRUE,FALSE
e2c6bf09204463f8-1729261392615,Nakalonzya,-17.5671700, 25.303520 ,18/10/2024,906,FALSE,FALSE
e2c6bf09204463f8-1729844658732,Nakalonzya,-17.5660600, 25.302430 ,25/10/2024,331,TRUE,FALSE
e2c6bf09204463f8-1727282323950,Nakalonzya,-17.5614300, 25.299800 ,25/09/2024,674,TRUE,FALSE
uuid:aed9a978-3f02-4848-804d-72a387e85a32,Nakalonzya,-17.5538862, 25.298131 ,12/04/2025,1730,FALSE,FALSE
088ff02ac975a5d0-1707924357833,Nakalonzya,-17.5537700, 25.296020 ,13/02/2024,897,TRUE,FALSE
088ff02ac975a5d0-1720991446844,Nakalonzya,-17.6614600, 25.296020 ,14/07/2024,897,TRUE,FALSE
088ff02ac975a5d0-1716730261391,Nakalonzya,-17.5479700, 25.294930 ,26/05/2024,531,TRUE,FALSE
088ff02ac975a5d0-1712323153461,Nakalonzya,-17.5479700, 25.294930 ,05/04/2024,694,TRUE,FALSE
uuid:3fd7c8cc-5d61-4c2a-8c57-3cca820c6db7,Nakalonzya,-17.5555461, 25.291165 ,18/04/2025,1852,FALSE,FALSE
e56487f7a8707139-1735201972789,Situwa,-17.6209200, 25.288920 ,26/12/2024,47,TRUE,FALSE
088ff02ac975a5d0-1712926058424,Nakalonzya,-17.5480100, 25.288000 ,12/04/2024,403,TRUE,FALSE
088ff02ac975a5d0-1715546809023,Nakalonzya,-17.5480200, 25.287990 ,12/05/2024,234,TRUE,FALSE
uuid:cff1662c-b440-4aa1-b610-49b2c7b05950,Nakalonzya,-17.5527241, 25.286007 ,25/04/2025,1563,FALSE,FALSE
e2c6bf09204463f8-1727282560770,Nakalonzya,-17.5546600, 25.285010 ,25/09/2024,707,FALSE,FALSE
088ff02ac975a5d0-1710946465362,Nakalonzya,-17.5481400, 25.283530 ,20/03/2024,761,TRUE,FALSE
088ff02ac975a5d0-1717959383636,Nakalonzya,-17.5470400, 25.283330 ,09/06/2024,440,TRUE,FALSE
e2c6bf09204463f8-1727282792040,Nakalonzya,-17.5641100, 25.283010 ,25/09/2024,806,FALSE,FALSE
e2c6bf09204463f8-1727281856827,Nakalonzya,-17.5256100, 25.278980 ,25/09/2024,511,FALSE,FALSE
e2c6bf09204463f8-1727282071116,Nakalonzya,-17.5246500, 25.277700 ,25/09/2024,466,FALSE,FALSE
